username,full_text
Chochosuuu,inget itu gaji guru umr tuh asn ada gaji 13 sama sertifikasi guru honorer sekarang tuh banyak gaji kecil lagi gaji rapel di bayar 3 bulan sekali minimal alas nunggu dana bos
Joonbooster,banding guru asn sama honorer jauh banget jumlah sender memang nerima fakta gaji guru honorer tuh worth dan banding sama biaya kuliah didik
beartaeby_,bukan ngerendahin memang gaji guru tuh kecil apa kalau guru sd sama tk tk dekat rumah guru gaji 50 ribu kalau asn kalau honorer kecil banget tembus guru sekolah swasta bagus gaji bisa gede
thvblast,semua guru asn sender guru honorer gaji bawah umr bahkan banyak dar cukup cukupin penuh butuh jadi asn dapet tunjang gaji layak juga tidak gampang itu banyak proses harus jalan dulu sender
NanonnnD,nder lebih banyak guru gaji honorer gaji beneran bawah cari guru gaji cuma 2 ratus ribu kadang bayar pas uang bos cair cair 3 6 bulan sekali kerja harus semua tanggung didik anak bangsa
yacultsesat,jangan tutup mata masih guru underpaid teman guru honorer 2 gaji underpaid kadang gaji rapel sampe bulan memang kamu kata makan rapel
itslalabell,gaji guru honorer memang sedikit banget anjir fakta lapang kakak honorer paling bulan cuma 400-500
AKN_46,awal begitu perlu hari bulan bayar bisa cicil kaya gaji guru honorer guru yayasan yah
cakraiki,gaji guru memang rendah baik asn masih honorer apa kalau jogja golong 4 sudah syukur banget terus punya mobil tuh banyak dari pinjem uang entah pinjol or pinjem bank
pink_to4,fakta emang gitu apa guru honorer underpaid sender mau sudah pns benar gaji harus gede karena itu kerja tidak gampang asal tau kamu lihat guru punya mobil mereka hasil ngandelin gaji guru tidak
haebaragiu,banyak gaji guru memang segitu mau asn tidak gampang lulus kuliah mesti ambil ppg dulu honorer dulu ikut p3k tidak jamin terima mau gede mah ngajar sekolah swasta international sekolah punya sendiri spd ogah guru
zevratycos,mau jadi guru honorer kan enak orang suruh kerja gaji minim retorika gaji naik mau nunggu kapan
litcookiedough,gitu dah banyak duit bulan mahasiswa banding gaji guru honorer pada nyata guru memang underpaid di negara cinta kalau guru nuntut gaji layak masyarakat bilang gin pahlawan tanda jasa mau gaji gede
keyznlh,nyata memang iya gaji guru indonesia bilang rendah apa guru honorer sayang padahal guru orang banyak jasa nya bangsa perintah lebih sejahtera guru guru
veautifull__,memang fakta sender lebih banyak guru gaji bilang layak dulu perintah janjiin bakal naik gaji guru honorer mana
ddiminssi,karena gaji guru honorer banyak di bawah umr sender bahkan kadang potong misal ngajar mapel linear sama kuliah misal jam ajar minggu tidak cukup lagi tingkat gaji honorer provinsi sama kab kota tuh beda
